Hospital National Ranking
Focus States
Provider ID | Ranking
450023 | 1
430095 | 2
430014 | 3
360077 | 4
260006 | 5
160029 | 6
140186 | 7
520089 | 8
520083 | 9
500124 | 10
450431 | 11
420087 | 12
390179 | 13
390153 | 14
240010 | 15
230105 | 16
230072 | 17
170104 | 18
150158 | 19
150065 | 20
140202 | 21
140065 | 22
120022 | 23
100087 | 24
050238 | 25
030103 | 26
670055 | 27
450779 | 28
420065 | 29
420033 | 30
410008 | 31
370215 | 32
360348 | 33
360262 | 34
230259 | 35
230035 | 36
150157 | 37
150115 | 38
150057 | 39
150008 | 40
140291 | 41
140116 | 42
130006 | 43
110023 | 44
060013 | 45
050396 | 46
050324 | 47
050145 | 48
500008 | 49
450610 | 50
450604 | 51
340131 | 52
230217 | 53
200050 | 54
190236 | 55
010149 | 56
520070 | 57
450358 | 58
450184 | 59
220088 | 60
050424 | 61
010125 | 62
670025 | 63
520095 | 64
170186 | 65
050357 | 66
450864 | 67
370203 | 68
361307 | 69
010044 | 70
030105 | 71
280129 | 72
420102 | 73
280128 | 74
370222 | 75
360352 | 76
450804 | 77
110200 | 78
040147 | 79


....stdout limited by GitHub API limit
